Elapsed time,vals
0,-0.085
0.0000006,-0.08
0.0000011,-0.07
0.0000017,-0.075
0.0000022,-0.095
0.0000028,-0.09
0.0000033,-0.1
0.0000039,-0.1
0.0000044,-0.1
0.000005,-0.085
0.0000056,-0.06
0.0000061,-0.045
0.0000067,-0.055
0.0000072,-0.06
0.0000078,-0.07
0.0000083,-0.08
0.0000089,-0.085
0.0000094,-0.08
0.00001,-0.07
0.0000106,-0.04
0.0000111,-0.05
0.0000117,-0.045
0.0000122,-0.04
0.0000128,-0.04
0.0000133,-0.055
0.0000139,-0.06
0.0000144,-0.055
0.000015,-0.055
0.0000156,-0.055
0.0000161,-0.045
0.0000167,-0.04
0.0000172,-0.045
0.0000178,-0.04
0.0000183,-0.03
0.0000189,-0.035
0.0000194,-0.045
0.00002,-0.055
0.0000206,-0.055
0.0000211,-0.05
0.0000217,-0.02
0.0000222,-0.015
0.0000228,-0.01
0.0000233,0.005
0.0000239,0
0.0000244,-0.005
0.000025,-0.025
0.0000256,-0.035
0.0000261,-0.03
0.0000267,-0.03
0.0000272,-0.015
0.0000278,-0.005
0.0000283,0
0.0000289,0.01
0.0000294,0.02
0.00003,0
0.0000306,-0.005
0.0000311,0.005
0.0000317,0.005
0.0000322,0.01
0.0000328,0.025
0.0000333,0.04
0.0000339,0.055
0.0000344,0.06
0.000035,0.045
0.0000356,0.04
0.0000361,0.045
0.0000367,0.04
0.0000372,0.04
0.0000378,0.07
0.0000383,0.075
0.0000389,0.09
0.0000394,0.105
0.00004,0.105
0.0000406,0.115
0.0000411,0.105
0.0000417,0.1
0.0000422,0.1
0.0000428,0.095
0.0000433,0.125
0.0000439,0.155
0.0000444,0.16
0.000045,0.16
0.0000456,0.175
0.0000461,0.175
0.0000467,0.155
0.0000472,0.16
0.0000478,0.15
0.0000483,0.15
0.0000489,0.16
0.0000494,0.18
0.00005,0.19
0.0000506,0.19
0.0000511,0.2
0.0000517,0.19
0.0000522,0.18
0.0000528,0.175
0.0000533,0.165
0.0000539,0.16
0.0000544,0.165
0.000055,0.155
0.0000556,0.165
0.0000561,0.165
0.0000567,0.17
0.0000572,0.145
0.0000578,0.135
0.0000583,0.11
0.0000589,0.09
0.0000594,0.07
0.00006,0.075
0.0000606,0.085
0.0000611,0.085
0.0000617,0.07
0.0000622,0.07
0.0000628,0.05
0.0000633,0.04
0.0000639,0.025
0.0000644,0.005
0.000065,-0.005
0.0000656,0
0.0000661,0
0.0000667,0.005
0.0000672,0.01
0.0000678,0
0.0000683,0.01
0.0000689,0.015
0.0000694,0.03
0.00007,0.035
0.0000706,0.045
0.0000711,0.065
0.0000717,0.085
0.0000722,0.09
0.0000728,0.12
0.0000733,0.115
0.0000739,0.09
0.0000744,0.085
0.000075,0.07
0.0000756,0.08
0.0000761,0.08
0.0000767,0.09
0.0000772,0.095
0.0000778,0.11
0.0000783,0.115
0.0000789,0.13
0.0000794,0.115
0.00008,0.1
0.0000806,0.095
0.0000811,0.095
0.0000817,0.095
0.0000822,0.1
0.0000828,0.11
0.0000833,0.12
0.0000839,0.125
0.0000844,0.14
0.000085,0.135
0.0000856,0.115
0.0000861,0.115
0.0000867,0.115
0.0000872,0.115
0.0000878,0.125
0.0000883,0.13
0.0000889,0.125
0.0000894,0.14
0.00009,0.14
0.0000906,0.14
0.0000911,0.13
0.0000917,0.105
0.0000922,0.1
0.0000928,0.1
0.0000933,0.13
0.0000939,0.14
0.0000944,0.135
0.000095,0.15
0.0000956,0.145
0.0000961,0.13
0.0000967,0.125
0.0000972,0.125
0.0000978,0.115
0.0000983,0.12
0.0000989,0.125
0.0000994,0.14
0.0001,0.14
0.0001006,0.15
0.0001011,0.145
0.0001017,0.14
0.0001022,0.135
0.0001028,0.14
0.0001033,0.125
0.0001039,0.125
0.0001044,0.135
0.000105,0.145
0.0001056,0.145
0.0001061,0.14
0.0001067,0.135
0.0001072,0.12
0.0001078,0.12
0.0001083,0.11
0.0001089,0.115
0.0001094,0.12
0.00011,0.135
0.0001106,0.135
0.0001111,0.13
0.0001117,0.135
0.0001122,0.13
0.0001128,0.11
0.0001133,0.11
0.0001139,0.11
0.0001144,0.105
0.000115,0.115
0.0001156,0.125
0.0001161,0.13
0.0001167,0.115
0.0001172,0.12
0.0001178,0.115
0.0001183,0.105
0.0001189,0.1
0.0001194,0.105
0.00012,0.09
0.0001206,0.1
0.0001211,0.105
0.0001217,0.11
0.0001222,0.12
0.0001228,0.135
0.0001233,0.12
0.0001239,0.11
0.0001244,0.095
0.000125,0.1
0.0001256,0.095
0.0001261,0.1
0.0001267,0.11
0.0001272,0.11
0.0001278,0.115
0.0001283,0.115
0.0001289,0.095
0.0001294,0.08
0.00013,0.075
0.0001306,0.07
0.0001311,0.07
0.0001317,0.075
0.0001322,0.09
0.0001328,0.085
0.0001333,0.1
0.0001339,0.125
0.0001344,0.11
0.000135,0.105
0.0001356,0.075
0.0001361,0.08
0.0001367,0.065
0.0001372,0.075
0.0001378,0.08
0.0001383,0.09
0.0001389,0.1
0.0001394,0.115
0.00014,0.105
0.0001406,0.09
0.0001411,0.085
0.0001417,0.09
0.0001422,0.085
0.0001428,0.095
0.0001433,0.11
0.0001439,0.135
0.0001444,0.13
0.000145,0.135
0.0001456,0.125
0.0001461,0.12
0.0001467,0.11
0.0001472,0.105
0.0001478,0.095
0.0001483,0.11
0.0001489,0.14
0.0001494,0.135
0.00015,0.14
0.0001506,0.14
0.0001511,0.13
0.0001517,0.125
0.0001522,0.12
0.0001528,0.105
0.0001533,0.1
0.0001539,0.12
0.0001544,0.15
0.000155,0.16
0.0001556,0.16
0.0001561,0.17
0.0001567,0.16
0.0001572,0.12
0.0001578,0.115
0.0001583,0.115
0.0001589,0.095
0.0001594,0.095
0.00016,0.1
0.0001606,0.095
0.0001611,0.09
0.0001617,0.09
0.0001622,0.085
0.0001628,0.055
0.0001633,0.065
0.0001639,0.06
0.0001644,0.065
0.000165,0.075
0.0001656,0.08
0.0001661,0.08
0.0001667,0.095
0.0001672,0.075
0.0001678,0.055
0.0001683,0.05
0.0001689,0.045
0.0001694,0.035
0.00017,0.045
0.0001706,0.045
0.0001711,0.055
0.0001717,0.06
0.0001722,0.06
0.0001728,0.06
0.0001733,0.06
0.0001739,0.05
0.0001744,0.035
0.000175,0.02
0.0001756,0.025
0.0001761,0.035
0.0001767,0.045
0.0001772,0.055
0.0001778,0.06
0.0001783,0.055
0.0001789,0.035
0.0001794,0.025
0.00018,0.03
0.0001806,0.02
0.0001811,0.03
0.0001817,0.05
0.0001822,0.03
0.0001828,0.04
0.0001833,0.05
0.0001839,0.04
0.0001844,0.025
0.000185,0
0.0001856,-0.01
0.0001861,-0.025
0.0001867,-0.03
0.0001872,-0.025
0.0001878,-0.015
0.0001883,-0.005
0.0001889,0.03
0.0001894,0.065
0.00019,0.11
0.0001906,0.16
0.0001911,0.2
0.0001917,0.255
0.0001922,0.335
0.0001928,0.425
0.0001933,0.53
0.0001939,0.645
0.0001944,0.72
0.000195,0.735
0.0001956,0.685
0.0001961,0.63
0.0001967,0.57
0.0001972,0.485
0.0001978,0.41
0.0001983,0.335
0.0001989,0.23
0.0001994,0.1
0.0002,0.01
0.0002006,-0.06
0.0002011,-0.1
0.0002017,-0.1
0.0002022,-0.09
0.0002028,-0.085
0.0002033,-0.06
0.0002039,-0.02
0.0002044,0.01
0.000205,0.035
0.0002056,0.04
0.0002061,0.035
0.0002067,0.015
0.0002072,-0.005
0.0002078,-0.02
0.0002083,-0.025
0.0002089,-0.01
0.0002094,0
0.00021,0.005
0.0002106,0.025
0.0002111,0.025
0.0002117,0.02
0.0002122,0
0.0002128,0.005
0.0002133,-0.015
0.0002139,-0.02
0.0002144,-0.01
0.000215,-0.01
0.0002156,0
0.0002161,0.01
0.0002167,0
0.0002172,0.005
0.0002178,0.005
0.0002183,-0.005
0.0002189,0
0.0002194,-0.01
0.00022,0
0.0002206,0.015
0.0002211,0.02
0.0002217,0.025
0.0002222,0.04
0.0002228,0.025
0.0002233,0.01
0.0002239,0
0.0002244,-0.005
0.000225,-0.005
0.0002256,0.005
0.0002261,0.025
0.0002267,0.025
0.0002272,0.03
0.0002278,0.025
0.0002283,0.01
0.0002289,0.02
0.0002294,0.005
0.00023,0.01
0.0002306,0.005
0.0002311,0.015
0.0002317,0.02
0.0002322,0.035
0.0002328,0.04
0.0002333,0.05
0.0002339,0.05
0.0002344,0.045
0.000235,0.04
0.0002356,0.025
0.0002361,0.03
0.0002367,0.03
0.0002372,0.04
0.0002378,0.045
0.0002383,0.055
0.0002389,0.06
0.0002394,0.065
0.00024,0.065
0.0002406,0.07
0.0002411,0.07
0.0002417,0.065
0.0002422,0.08
0.0002428,0.095
0.0002433,0.105
0.0002439,0.105
0.0002444,0.12
0.000245,0.115
0.0002456,0.115
0.0002461,0.11
0.0002467,0.1
0.0002472,0.1
0.0002478,0.115
0.0002483,0.13
0.0002489,0.15
0.0002494,0.155
0.00025,0.16
0.0002506,0.15
0.0002511,0.16
0.0002517,0.165
0.0002522,0.155
0.0002528,0.16
0.0002533,0.175
0.0002539,0.2
0.0002544,0.205
0.000255,0.21
0.0002556,0.205
0.0002561,0.195
0.0002567,0.185
0.0002572,0.18
0.0002578,0.18
0.0002583,0.18
0.0002589,0.18
0.0002594,0.2
0.00026,0.205
0.0002606,0.205
0.0002611,0.195
0.0002617,0.17
0.0002622,0.15
0.0002628,0.135
0.0002633,0.13
0.0002639,0.125
0.0002644,0.13
0.000265,0.115
0.0002656,0.13
0.0002661,0.13
0.0002667,0.115
0.0002672,0.095
0.0002678,0.08
0.0002683,0.07
0.0002689,0.055
0.0002694,0.03
0.00027,0.015
0.0002706,0.025
0.0002711,0.025
0.0002717,0.02
0.0002722,0.01
0.0002728,-0.005
0.0002733,-0.02
0.0002739,-0.025
0.0002744,-0.035
0.000275,-0.03
0.0002756,-0.01
0.0002761,0
0.0002767,-0.01
0.0002772,-0.005
0.0002778,-0.01
0.0002783,-0.03
0.0002789,-0.04
0.0002794,-0.055
0.00028,-0.065
0.0002806,-0.055
0.0002811,-0.04
0.0002817,-0.045
0.0002822,-0.025
0.0002828,-0.035
0.0002833,-0.03
0.0002839,-0.05
0.0002844,-0.055
0.000285,-0.06
0.0002856,-0.06
0.0002861,-0.045
0.0002867,-0.045
0.0002872,-0.035
0.0002878,-0.02
0.0002883,-0.03
0.0002889,-0.03
0.0002894,-0.05
0.00029,-0.055
0.0002906,-0.055
0.0002911,-0.06
0.0002917,-0.055
0.0002922,-0.05
0.0002928,-0.04
0.0002933,-0.055
0.0002939,-0.03
0.0002944,-0.055
0.000295,-0.05
0.0002956,-0.05
0.0002961,-0.06
0.0002967,-0.06
0.0002972,-0.045
0.0002978,-0.04
0.0002983,-0.04
0.0002989,-0.04
0.0002994,-0.04
0.0003,-0.05
0.0003006,-0.055
0.0003011,-0.055
0.0003017,-0.06
0.0003022,-0.055
0.0003028,-0.03
0.0003033,-0.03
0.0003039,-0.025
0.0003044,-0.02
0.000305,-0.015
0.0003056,-0.025
0.0003061,-0.035
0.0003067,-0.045
0.0003072,-0.05
0.0003078,-0.055
0.0003083,-0.045
0.0003089,-0.04
0.0003094,-0.02
0.00031,-0.015
0.0003106,-0.01
0.0003111,-0.015
0.0003117,-0.02
0.0003122,-0.03
0.0003128,-0.035
0.0003133,-0.04
0.0003139,-0.03
0.0003144,-0.03
0.000315,-0.025
0.0003156,-0.015
0.0003161,-0.015
0.0003167,-0.025
0.0003172,-0.02
0.0003178,-0.035
0.0003183,-0.04
0.0003189,-0.045
0.0003194,-0.045
0.00032,-0.03
0.0003206,-0.025
0.0003211,-0.005
0.0003217,-0.01
0.0003222,-0.03
0.0003228,-0.03
0.0003233,-0.035
0.0003239,-0.05
0.0003244,-0.06
0.000325,-0.04
0.0003256,-0.04
0.0003261,-0.03
0.0003267,-0.02
0.0003272,-0.025
0.0003278,-0.04
0.0003283,-0.045
0.0003289,-0.02
0.0003294,-0.05
0.00033,-0.055
0.0003306,-0.04
0.0003311,-0.03
0.0003317,-0.035
0.0003322,-0.015
0.0003328,-0.02
0.0003333,-0.04
0.0003339,-0.05
0.0003344,-0.055
0.000335,-0.06
0.0003356,-0.06
0.0003361,-0.055
0.0003367,-0.04
0.0003372,-0.04
0.0003378,-0.035
0.0003383,-0.02
0.0003389,-0.035
0.0003394,-0.045
0.00034,-0.05
0.0003406,-0.07
0.0003411,-0.07
0.0003417,-0.05
0.0003422,-0.045
0.0003428,-0.035
0.0003433,-0.035
0.0003439,-0.035
0.0003444,-0.045
0.000345,-0.055
0.0003456,-0.05
0.0003461,-0.05
0.0003467,-0.04
0.0003472,-0.035
0.0003478,-0.025
0.0003483,-0.005
0.0003489,-0.01
0.0003494,-0.025
0.00035,-0.04
0.0003506,-0.03
0.0003511,-0.035
0.0003517,-0.04
0.0003522,-0.04
0.0003528,-0.025
0.0003533,-0.015
0.0003539,-0.01
0.0003544,0.015
0.000355,-0.005
0.0003556,-0.005
0.0003561,-0.015
0.0003567,-0.02
0.0003572,-0.025
0.0003578,-0.025
0.0003583,-0.01
0.0003589,0.005
0.0003594,0.015
0.00036,0.02
0.0003606,0.015
0.0003611,0.005
0.0003617,0.005
0.0003622,0
0.0003628,0
0.0003633,0
0.0003639,0
0.0003644,0.005
0.000365,0.02
0.0003656,0.03
0.0003661,0.02
0.0003667,-0.01
0.0003672,-0.025
0.0003678,-0.035
0.0003683,-0.055
0.0003689,-0.05
0.0003694,-0.045
0.00037,-0.04
0.0003706,-0.045
0.0003711,-0.025
0.0003717,-0.035
0.0003722,-0.06
0.0003728,-0.06
0.0003733,-0.07
0.0003739,-0.08
0.0003744,-0.065
0.000375,-0.055
0.0003756,-0.05
0.0003761,-0.05
0.0003767,-0.035
0.0003772,-0.055
0.0003778,-0.055
0.0003783,-0.06
0.0003789,-0.065
0.0003794,-0.065
0.00038,-0.06
0.0003806,-0.065
0.0003811,-0.065
0.0003817,-0.065
0.0003822,-0.065
0.0003828,-0.065
0.0003833,-0.08
0.0003839,-0.085
0.0003844,-0.08
0.000385,-0.1
0.0003856,-0.09
0.0003861,-0.08
0.0003867,-0.06
0.0003872,-0.045
0.0003878,-0.045
0.0003883,-0.055
0.0003889,-0.06
0.0003894,-0.085
0.00039,-0.085
0.0003906,-0.1
0.0003911,-0.1
0.0003917,-0.08
0.0003922,-0.075
0.0003928,-0.07
0.0003933,-0.075
0.0003939,-0.095
0.0003944,-0.105
0.000395,-0.115
0.0003956,-0.14
0.0003961,-0.155
0.0003967,-0.135
0.0003972,-0.105
0.0003978,-0.045
0.0003983,0.02
0.0003989,0.075
0.0003994,0.125
0.0004,0.17
0.0004006,0.225
0.0004011,0.275
0.0004017,0.39
0.0004022,0.515
0.0004028,0.64
0.0004033,0.69
0.0004039,0.66
0.0004044,0.615
0.000405,0.555
0.0004056,0.485
0.0004061,0.39
0.0004067,0.305
0.0004072,0.195
0.0004078,0.085
0.0004083,-0.03
0.0004089,-0.115
0.0004094,-0.155
0.00041,-0.145
0.0004106,-0.125
0.0004111,-0.115
0.0004117,-0.11
0.0004122,-0.085
0.0004128,-0.05
0.0004133,-0.055
0.0004139,-0.03
0.0004144,-0.035
0.000415,-0.045
0.0004156,-0.04
0.0004161,-0.04
0.0004167,-0.065
0.0004172,-0.07
0.0004178,-0.08
0.0004183,-0.075
0.0004189,-0.07
0.0004194,-0.06
0.00042,-0.05
0.0004206,-0.03
0.0004211,-0.045
0.0004217,-0.045
0.0004222,-0.055
0.0004228,-0.06
0.0004233,-0.055
0.0004239,-0.06
0.0004244,-0.04
0.000425,-0.035
0.0004256,-0.025
0.0004261,-0.01
0.0004267,-0.025
0.0004272,-0.045
0.0004278,-0.05
0.0004283,-0.055
0.0004289,-0.05
0.0004294,-0.055
0.00043,-0.03
0.0004306,-0.025
0.0004311,-0.02
0.0004317,-0.01
0.0004322,-0.01
0.0004328,-0.02
0.0004333,-0.03
0.0004339,-0.025
0.0004344,-0.02
0.000435,-0.015
0.0004356,0.005
0.0004361,0.02
0.0004367,0.025
0.0004372,0.025
0.0004378,0.015
0.0004383,0.005
0.0004389,-0.01
0.0004394,-0.01
0.00044,-0.01
0.0004406,0.01
0.0004411,0.015
0.0004417,0.025
0.0004422,0.045
0.0004428,0.06
0.0004433,0.065
0.0004439,0.05
0.0004444,0.04
0.000445,0.045
0.0004456,0.04
0.0004461,0.045
0.0004467,0.045
0.0004472,0.06
0.0004478,0.065
0.0004483,0.07
0.0004489,0.065
0.0004494,0.065
0.00045,0.065
0.0004506,0.065
0.0004511,0.075
0.0004517,0.08
0.0004522,0.1
0.0004528,0.115
0.0004533,0.125
0.0004539,0.13
0.0004544,0.14
0.000455,0.14
0.0004556,0.15
0.0004561,0.135
0.0004567,0.13
0.0004572,0.14
0.0004578,0.17
0.0004583,0.175
0.0004589,0.19
0.0004594,0.2
0.00046,0.205
0.0004606,0.19
0.0004611,0.2
0.0004617,0.2
0.0004622,0.195
0.0004628,0.21
0.0004633,0.225
0.0004639,0.235
0.0004644,0.23
0.000465,0.24
0.0004656,0.225
0.0004661,0.225
0.0004667,0.205
0.0004672,0.2
0.0004678,0.19
0.0004683,0.19
0.0004689,0.205
0.0004694,0.205
0.00047,0.22
0.0004706,0.23
0.0004711,0.205
0.0004717,0.195
0.0004722,0.175
0.0004728,0.165
0.0004733,0.155
0.0004739,0.15
0.0004744,0.14
0.000475,0.135
0.0004756,0.13
0.0004761,0.11
0.0004767,0.105
0.0004772,0.085
0.0004778,0.075
0.0004783,0.065
0.0004789,0.06
0.0004794,0.065
0.00048,0.06
0.0004806,0.06
0.0004811,0.05
0.0004817,0.045
0.0004822,0.04
0.0004828,0.02
0.0004833,0.01
0.0004839,0
0.0004844,0
0.000485,0.01
0.0004856,0.015
0.0004861,0.01
0.0004867,0.02
0.0004872,0.01
0.0004878,0
0.0004883,-0.02
0.0004889,-0.02
0.0004894,-0.04
0.00049,-0.035
0.0004906,-0.025
0.0004911,-0.015
0.0004917,-0.005
0.0004922,0.005
0.0004928,-0.005
0.0004933,-0.02
0.0004939,-0.025
0.0004944,-0.025
0.000495,-0.025
0.0004956,-0.025
0.0004961,-0.025
0.0004967,-0.01
0.0004972,0.005
0.0004978,0.015
0.0004983,0.01
0.0004989,0.005
0.0004994,-0.02
0.0005,-0.015
0.0005006,-0.015
0.0005011,-0.02
0.0005017,-0.025
0.0005022,-0.02
0.0005028,-0.02
0.0005033,0
0.0005039,0.015
0.0005044,-0.005
0.000505,-0.01
0.0005056,-0.02
0.0005061,-0.03
0.0005067,-0.03
0.0005072,-0.015
0.0005078,0
0.0005083,0.01
0.0005089,0.015
0.0005094,0.015
0.00051,-0.005
0.0005106,-0.01
0.0005111,-0.035
0.0005117,-0.025
0.0005122,-0.025
0.0005128,-0.02
0.0005133,0.005
0.0005139,0.015
0.0005144,0.02
0.000515,0.025
0.0005156,0
0.0005161,-0.01
0.0005167,-0.025
0.0005172,-0.035
0.0005178,-0.02
0.0005183,-0.01
0.0005189,0.005
0.0005194,0.005
0.00052,0.01
0.0005206,0.015
0.0005211,0
0.0005217,-0.005
0.0005222,-0.02
0.0005228,-0.025
0.0005233,-0.025
0.0005239,-0.015
0.0005244,0
0.000525,0.005
0.0005256,0.015
0.0005261,0.02
0.0005267,0
0.0005272,-0.015
0.0005278,-0.02
0.0005283,-0.03
0.0005289,-0.025
0.0005294,-0.005
0.00053,-0.005
0.0005306,0
0.0005311,0.01
0.0005317,0.015
0.0005322,0.005
0.0005328,-0.01
0.0005333,-0.015
0.0005339,-0.02
