Elapsed time,vals
0,11.313
0.002,10.829
0.004,10.222
0.006,8.58
0.008,6.234
0.01,3.574
0.012,1.517
0.014,0.011
0.016,-0.888
0.018,-0.133
0.02,0.959
0.022,2.053
0.024,2.517
0.026,2.482
0.028,1.529
0.03,0.251
0.032,-1.627
0.034,-3.941
0.036,-6.093
0.038,-8.042
0.04,-9.616
0.042,-11.3
0.044,-11.73
0.046,-11.775
0.048,-11.564
0.05,-10.942
0.052,-10.028
0.054,-8.865
0.056,-8.365
0.058,-8.228
0.06,-8.031
0.062,-7.564
0.064,-6.987
0.066,-4.952
0.068,-3.613
0.07,-2.452
0.072,-0.989
0.074,-0.499
0.076,0.271
0.078,1.472
0.08,3.039
0.082,4.14
0.084,6.225
0.086,7.508
0.088,8.051
0.09,7.692
0.092,6.721
0.094,5.639
0.096,4.178
0.098,2.73
0.1,0.962
0.102,0.499
0.104,-0.426
0.106,-1.025
0.108,-1.115
0.11,-1.188
0.112,-0.659
0.114,0.152
0.116,1.061
0.118,2.07
0.12,2.761
0.122,2.868
0.124,2.508
0.126,2.03
0.128,1.703
0.13,1.396
0.132,0.424
0.134,0.079
0.136,-1.144
0.138,-3.389
0.14,-4.976
0.142,-7.39
0.144,-9.2
0.146,-10.858
0.148,-11.521
0.15,-11.965
0.152,-10.859
0.154,-9.004
0.156,-6.613
0.158,-4.843
0.16,-3.377
0.162,-2.867
0.164,-2.713
0.166,-2.24
0.168,-2.298
0.17,-3.196
0.172,-4.009
0.174,-3.981
0.176,-4.506
0.178,-5.152
0.18,-5.931
0.182,-6.216
0.184,-6.244
0.186,-7.113
0.188,-6.909
0.19,-6.192
0.192,-5.57
0.194,-4.992
0.196,-3.82
0.198,-2.589
0.2,-2.155
0.202,-1.562
0.204,-0.502
0.206,0.031
0.208,0.989
0.21,1.575
0.212,2.982
0.214,3.847
0.216,4.497
0.218,4.174
0.22,4.906
0.222,5.02
0.224,3.547
0.226,3.039
0.228,1.759
0.23,-0.207
0.232,-1.899
0.234,-3.135
0.236,-3.989
0.238,-4.347
0.24,-3.531
0.242,-3.239
0.244,-2.754
0.246,-0.776
0.248,-0.026
0.25,-0.015
0.252,-0.391
0.254,-0.996
0.256,-3.368
0.258,-5.56
0.26,-8.643
0.262,-10.428
0.264,-12.697
0.266,-14.298
0.268,-14.692
0.27,-15.911
0.272,-16.612
0.274,-17.522
0.276,-18.501
0.278,-19.392
0.28,-19.424
0.282,-19.613
0.284,-18.951
0.286,-16.812
0.288,-14.193
0.29,-10.55
0.292,-5.721
0.294,-2.105
0.296,0.695
0.298,3.023
0.3,3.965
0.302,4.184
0.304,3.611
0.306,3.376
0.308,2.478
0.31,2.198
0.312,2.239
0.314,2.271
0.316,2.024
0.318,1.522
0.32,0.418
0.322,-1.288
0.324,-3.693
0.326,-7.279
0.328,-10.529
0.33,-14.043
0.332,-16.206
0.334,-17.425
0.336,-17.699
